Job Title,Company,Location,Salary,Summary,Date Submitted,Links
Data Scientist,Macquarie Group,Nothing Found,Nothing Found,"We let the use case and data guide us.
Experience with big data/cloud technologies would be a bonus.
Most importantly, we back-up the data science hype by…",Just posted,https://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6X6E7q_eCV_S7ViPJW3zi8RGDzMI-Dp9Vf8vt2biP40H8IU0Gx0LgfA9GJ4NH85w2g10jqR2anLgyaGNWkf6mvv2WyDR6-q_FObbLAfa65S_ZySAjL3LqK-hPUAaPjehdon_evSbfnaq5kVFinrIYaj_0yJ6E92c8p8BhXtYMfKfrgmNrJe903vm7TH5muxXU9N6uxCi4OIjlQupPyRtVCIghK68vCFCDwVHLlMjQ78l8kZr0LiRpUYWTIlEsfC5SqXaX7EKHCFOfrbNz0qeGcDGUrkTWisFBLg03Qr02WGxU6mcBpoB74Y4FsGn1gp9gtr_V57pkdYWemUytHByXB2gZJo2bW1BKI1Gg55LnVK_WTciQOc7lzdiiH8cBGCwrm4qI-xufg_SklV4U17iwbsBxHOCstOPRphSuAuT4Lq4MDFOYMMmSLJ1_sRvDS_m-tPZje-04IAg-Upx2orJ16dcHKqGFejFNoXa8P0VIiPl3hnHI10b4xApEcqnwRK05_GDCKWZdEpnJLYV0xKqWiDoozdfF1joiwR2v-AsXNrPQv3_qJ4XBtB1E4htOhkkuYIshfi2oRT1q940ZYEWIdTbMg3_TxHq3rvaar4ElvW5CU1Avq4oXzU-8p71H0cxaC162gWzew5-pL6-XmNiIZhd5GPadM6PBrq-By9XFhwUJL7U1Awid8C3YjDUh5P1s7cYr8HCpUAE8tlRi6XB1iPTKmy-urhA=&p=0&fvj=0&vjs=3
Data Scientist,Corporate Services,Sydney NSW,"$134,668 a year","Experience in scientific and research methodology, data cleansing, data engineering and establishing data marts within an intelligence analytics field.",12 days ago,https://au.indeed.com/rc/clk?jk=1d4c0e7462b97e3d&fccid=b8f5ed662cb2c442&vjs=3
Junior Data Scientist,Broad Construction,Sydney NSW,Nothing Found,"The primary responsibility of this role is to use data & analytic capabilities, technology and latest techniques to better support the business in making timely…",5 days ago,https://au.indeed.com/rc/clk?jk=8bae2b2cf6c2b526&fccid=4a4766ab5b31fc50&vjs=3
Data Scientist,Macquarie Group Limited,Sydney NSW,Nothing Found,"We let the use case and data guide us.
Experience with big data/cloud technologies would be a bonus.
Most importantly, we back-up the data science hype by…",1 day ago,https://au.indeed.com/rc/clk?jk=ec4a48e3bc0e1c02&fccid=ca2285c3548c3efe&vjs=3
Junior Data Scientist,CPB Contractors,Sydney NSW,Nothing Found,"The primary responsibility of this role is to use data & analytic capabilities, technology and latest techniques to better support the business in making timely…",5 days ago,https://au.indeed.com/rc/clk?jk=e7c1c7149842cbbd&fccid=b155cdcdabd4ee03&vjs=3
Start your new career as a Data Analyst,Data School Down Under,Sydney Central Business District NSW,"$50,000 - $60,000 a year","The Data School Australia is creating the next generation of great data analysts and data scientists.
The demand for great data analysts and data scientists has…",7 days ago,https://au.indeed.com/company/Data-School-Down-Under/jobs/Start-Your-New-Career-Data-Analyst-7fd12bd861c2bef1?fccid=3719a3881a1209d8&vjs=3
"Senior Data Scientist, Customer Analytics",Atlassian,Sydney NSW,Nothing Found,"A strong intuition for crafting raw data and analysis into well-written and persuasive content.
Expertise in SQL and proficiency in another data programming…",29 days ago,https://au.indeed.com/rc/clk?jk=1b83e7e33626067b&fccid=e6d4ba9e2cfe7902&vjs=3
Principal Data Scientist,nbn™,Sydney NSW,Nothing Found,"You will bring a passion for data storytelling, translating data into action and business insight.
To be successful in this role, you will have demonstrated…",4 days ago,https://au.indeed.com/rc/clk?jk=122982b8976fa886&fccid=0922438da05b8531&vjs=3
Data Scientist,Amazon Corporate Services Pty,Sydney NSW,Nothing Found,"3+ years of experience working in data science.
Proficient with using scripting language such as Python and data manipulation/analysis libraries such as Scikit…",26 days ago,https://au.indeed.com/rc/clk?jk=3e047df9c0444028&fccid=fe2d21eef233e94a&vjs=3
Machine Learning Data Scientist,Susquehanna International Group,Sydney NSW,Nothing Found,"We work at all levels of the problem domain from market data handlers through trade monitoring.
Work with python systems to extract the data you will require; …",30+ days ago,https://au.indeed.com/rc/clk?jk=666a0ab56f5c915c&fccid=4cd66e5617f038d8&vjs=3
Data Scientist,Annalect,Sydney NSW,Nothing Found,"A strong background in data science, analytics, or data engineering.
Build scalable backend solutions for automation of data processing.",19 days ago,https://au.indeed.com/rc/clk?jk=1a0a575016673f6a&fccid=1ae48412754511fd&vjs=3
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,Nothing Found,"In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by…",30+ days ago,https://au.indeed.com/rc/clk?jk=5c172b03ffbfed14&fccid=52628ad139cbe5e1&vjs=3
"Data Scientist, AI/ML Developer",SAM.coach,Sydney NSW,Nothing Found,"Experience working on large and complex data sets and translating and presenting data in a concise and meaningful way.
Data Scientist, AI/ML Developer*.",6 days ago,https://au.indeed.com/company/SAM.coach/jobs/Data-Scientist-5c6641fe842d474f?fccid=38f0afae80308b22&vjs=3
Medical Laboratory Assistant,NSW Health Pathology,Sydney NSW,"$53,647 - $55,829 a year","Excellent data entry skills including high attention to detail and data accuracy.
Our network of pathologists are supported by scientists, technicians and…",4 days ago,https://au.indeed.com/rc/clk?jk=4b43bce2031d0a50&fccid=e7597ec2709d5482&vjs=3
Data Scientist ,Robonomics AI,Sydney NSW,Nothing Found,"We are looking for a candidate with good command over R/Python and in-depth knowledge and experience in Machine Learning, deep learning methods, algorithm…",30+ days ago,https://au.indeed.com/rc/clk?jk=d2248175490bc5c0&fccid=d3db4f770a44ca9f&vjs=3
